card,lens_no,lens_echo,pour_no,wine,producer_or_region,blurb,grape,style,vintage,abv,serve,notes,pairs_with,acid,sweet,tannin,body,status
Nine of Wands,I,The long watch. Nearly done.,1,Château Gruaud Larose,"St-Julien, Bordeaux","What survived the years earned them. A 1990 Gruaud Larose has stood watch for over three decades and still holds its posture: fruit gone noble, tannins worn smooth like old armor, vigilance mellowed into wisdom. Nearly done is not done. There's watch left in it yet.",Cabernet blend,"Red, mature St-Julien",1990,12.5%,"17°C, decant gently","Tobacco, cedar, dried currant","Roast beef, mushrooms",0.6,0.04,0.55,0.65,draft
Nine of Wands,II,"Toughness, chosen. It was earned first.",1,Assyrtiko,"Hatzidakis, Santorini","Tough places breed tough character. Santorini's vines grow coiled into ground-hugging baskets against wind that would strip anything upright, ungrafted, on volcanic ash, some for centuries. Hatzidakis bottles the endurance: saline, austere, unbendable. The scars are structural. So is the strength.",Assyrtiko,"White, volcanic island",2021,14%,10-12°C,"Lemon, flint, sea salt","Grilled fish, feta",0.9,0.03,0.05,0.55,draft
Nine of Wands,III,Defenses up. For good reason.,1,Madiran,"Château d'Aydie, Southwest France","Good defenses take years to soften. Madiran's Tannat throws up walls of tannin in youth, structure so firm the region invented micro-oxygenation just to negotiate with it; d'Aydie lets time do most of the talking instead. The guard drops eventually. What it was protecting proves worth it.",Tannat,"Red, Madiran",2018,14%,"17°C, decant 1 hr","Dark plum, tobacco, earth","Duck confit, cassoulet",0.6,0.05,0.8,0.8,draft
Nine of Wands,IV,The last stretch. Hold steady.,1,Nuits-Saint-Georges Les Saint-Georges,"Robert Chevillon, Burgundy","So close the wait turns sweet. Chevillon's Nuits-Saint-Georges spends a decade guarding itself, structured, watchful, giving little, then begins to open into dark cherry and undergrowth right at the line. The last stretch is where cellars earn their keep. Steady. Almost.",Pinot Noir,"Red, premier cru",2015,13%,15-16°C,"Dark cherry, undergrowth, spice","Game birds, beef bourguignon",0.65,0.04,0.6,0.6,draft
Ten of Wands,I,The full weight. Carried anyway.,1,Amarone della Valpolicella,"Giuseppe Quintarelli, Veneto","Density is its own achievement. Quintarelli's Amarone carries everything at once, dried fruit, spice, sweetness, warmth, seven years of cask and a lifetime of method pressed into one pour that borders on too much and never crosses. The weight is the point. Someone carried it all the way here.",Corvina blend,"Red, monumental Amarone",2013,16.5%,"17°C, small pours","Dried cherry, fig, balsamic","Braised oxtail, aged cheeses",0.55,0.2,0.6,1.0,draft
Ten of Wands,II,"All of it, by hand. Felt in every drop.",1,Tokaji Aszú 5 Puttonyos,"Royal Tokaji, Hungary","Some work cannot be delegated. Aszú berries are picked one at a time, each shriveled grape judged and lifted by hand, basket after basket, to make a single golden bottle. Royal Tokaji turns that labor into apricot, saffron, and honeyed light. Count the berries if you like. Someone did.",Furmint,"Sweet, botrytis Tokaji",2017,11%,10-12°C,"Apricot, saffron, honey","Blue cheese, fruit tarts",0.8,0.9,0.05,0.7,draft
Ten of Wands,III,The hard year. It left its mark.,1,Gevrey-Chambertin,"Domaine Fourrier, Burgundy","Struggle leaves fingerprints. The April frost of 2016 burned through Burgundy's buds overnight and left growers harvesting fractions of a crop; what Fourrier saved from Gevrey that year is concentrated, sinewed, marked by the effort. The burden shows in the glass. It reads as depth.",Pinot Noir,"Red, frost-year Burgundy",2016,13%,15-16°C,"Dark cherry, iron, rose","Duck, beef cheek",0.7,0.04,0.5,0.6,draft
Page of Wands,I,"Somewhere new, then. Off we go.",1,Saperavi,"Pheasant's Tears, Georgia","The unfamiliar is an invitation. Saperavi is Georgia's ancient ink-dark grape, fermented in buried qvevri by a winery an American painter co-founded after one trip too many fell in love with the place. Eight thousand vintages of somewhere new. The road accepts. Pack light.",Saperavi,"Red, qvevri Georgian",2021,13%,15-16°C,"Blackberry, pomegranate, earth","Grilled meats, khachapuri",0.7,0.05,0.6,0.7,draft
Page of Wands,II,The experiment. Gleefully so.,1,Pithos Rosso,"COS, Sicily","Curiosity makes its own rules. COS ferments Pithos in clay amphorae sunk in the earth, no oak, no steel, an experiment borrowed from antiquity and run with a grin in modern Vittoria. Crunchy red fruit, herbs, a texture nothing else makes. Hypothesis confirmed: this is fun.",Nero d'Avola-Frappato,"Red, amphora",2021,12.5%,"14-15°C, light chill","Sour cherry, herbs, clay","Grilled vegetables, tuna",0.7,0.04,0.35,0.5,draft
Page of Wands,III,Unfiltered enthusiasm. Refreshing.,1,Tavel La Dame Rousse,"Domaine de la Mordorée, Rhône","Energy forgives inexperience. Tavel is France's only appellation devoted entirely to rosé, and it refuses the pale-and-polite fashion: Mordorée's pours nearly red, loud with strawberry and spice, all enthusiasm and no apology. Youth, bottled at full volume. It grows on everyone.",Grenache-Cinsault blend,"Rosé, full-bodied Tavel",2022,13.5%,10-12°C,"Strawberry, watermelon, spice","Grilled chicken, aioli",0.65,0.06,0.15,0.55,draft
Page of Wands,IV,The strange perfume. Follow it.,1,Gewurztraminer,"Hugel, Alsace","Some first impressions demand answers. Gewurztraminer opens with lychee and rose where wine has no business keeping either, a perfume so strange the first encounter is usually a double take; Hugel has bottled the question since 1639. Follow the scent. Curiosity is the correct response.",Gewurztraminer,"White, aromatic Alsace",2021,14%,9-11°C,"Lychee, rose, ginger","Thai curry, Munster",0.45,0.2,0.05,0.6,draft
Knight of Wands,I,The grand entrance. As expected.,1,The Dead Arm Shiraz,"d'Arenberg, McLaren Vale","Boldness announces itself, starting with the name: the Dead Arm is a vine disease that kills half the plant and doubles the intensity of what survives, and d'Arenberg leads with it in capital letters. The Shiraz swaggers in dense and dark. Introductions were never going to be needed.",Shiraz,"Red, McLaren Vale",2019,14.5%,16-17°C,"Black plum, licorice, earth","Ribs, game",0.55,0.06,0.7,0.9,draft
Knight of Wands,II,Frontier-bound. Saddle up.,1,Concreto Malbec,"Zuccardi, Uco Valley","The daring get the best views. The Zuccardi family rode Mendoza's frontier upward into the stones of the Uco Valley, building a winery of raw concrete at the foot of the Andes that has been named the world's best more than once. Concreto is the view bottled: rock, altitude, momentum.",Malbec,"Red, high-altitude concrete",2021,14%,16°C,"Black fruit, crushed stone, violets","Grilled steak, lamb",0.65,0.05,0.6,0.75,draft
Knight of Wands,III,Impulse. The good kind.,1,Love Red,"Broc Cellars, California","The best stories start abruptly. Broc bottles Love Red young and eager, carbonic brightness, no oak lectures, a wine that skips deliberation entirely and lands chilled in the glass while fancier plans are still decanting. Impulse, vindicated again. It rarely needed the meeting.",Carignan blend,"Red, chillable natural",2022,12.5%,"13-14°C, chill","Raspberry, flowers, crunch","Tacos, picnic fare",0.7,0.06,0.25,0.45,draft
Knight of Wands,IV,Armed warmth. En garde.,1,Crozes-Hermitage,"Alain Graillot, Rhône","Some warmth arrives armed. Graillot's Crozes leads with black pepper riding dark fruit, Syrah with its spurs still on, charging out of a region everyone underestimated until he made it impossible. The heat has a point to it. Two points, technically. En garde.",Syrah,"Red, peppery Crozes",2021,13%,15-16°C,"Black pepper, blackberry, olive","Steak au poivre, duck",0.7,0.04,0.55,0.65,draft
Queen of Wands,I,"Certainty, worn lightly. Magnetic.",1,Meursault,"Domaine Michelot, Burgundy","Self-assurance reads instantly. Meursault is white Burgundy at its most certain, hazelnut and butter over stone, a wine that has never once wondered whether it belongs at the table; Michelot's holdings run through the village's best sand. It doesn't perform confidence. It just pours with it.",Chardonnay,"White, Meursault",2021,13%,11-13°C,"Hazelnut, butter, citrus","Roast chicken, lobster",0.65,0.05,0.05,0.65,draft
Queen of Wands,II,The warm welcome. Bask.,1,Châteauneuf-du-Pape,"Domaine de la Janasse, Rhône","Generosity is magnetic. Janasse's Châteauneuf leads with Grenache warmth, raspberry and garrigue offered before anyone asks, richness balanced so the welcome never wears. Some wines require winning over. This one had the door open before the knock.",Grenache blend,"Red, Châteauneuf-du-Pape",2020,15%,16-17°C,"Raspberry, garrigue, pepper","Lamb, roast vegetables",0.55,0.08,0.55,0.8,draft
Queen of Wands,III,Her empire. Never doubt a widow.,1,Yellow Label Brut,"Veuve Clicquot, Champagne","Underestimated is a temporary condition. Barbe-Nicole Clicquot was widowed at twenty-seven, took over a small wine house when women couldn't hold bank accounts, invented the riddling table, and ran her Champagne through blockades to Russia. The empire still bears her title: the widow. Doubt her at your expense.",Pinot Noir blend,Brut NV Champagne,NV,12%,8-10°C,"Apple, brioche, citrus","Celebration, fried chicken",0.7,0.12,0.05,0.5,draft
Queen of Wands,IV,Sparkle with depth. The full package.,1,Brunello di Montalcino,"Fuligni, Tuscany","The lively ones still run deep. Fuligni's Brunello opens bright, all vivid cherry and energy, then keeps going down through earth, leather, and long-held warmth. Charm on the surface, gravity underneath, neither pretending the other isn't there. The full package, poured slowly.",Sangiovese,"Red, Brunello",2018,14.5%,"17°C, decant 1 hr","Bright cherry, leather, earth","Bistecca, wild mushroom",0.7,0.05,0.65,0.65,draft
King of Wands,I,"The vision, realized. Salute.",1,Sassicaia,"Tenuta San Guido, Bolgheri","Someone saw all this coming. Mario Incisa della Rocchetta planted Cabernet on Tuscan coastland in the forties when everyone knew it was folly, kept the wine private for decades, then released it and redrew Italian wine; Sassicaia now holds its own DOC, the only single-estate one in Italy. Vision, vindicated. Salute.",Cabernet blend,"Red, Super Tuscan original",2020,14%,"17°C, decant 1 hr","Cassis, Mediterranean herbs, cedar","Beef tagliata, lamb",0.65,0.04,0.65,0.75,draft
King of Wands,II,Command presence. Felt immediately.,1,Insignia,"Joseph Phelps, Napa Valley","Authority is felt before it's explained. Insignia was among the first proprietary Bordeaux-style blends in Napa, a flagship built in 1974 to lead rather than follow, and it has commanded the room for fifty vintages since. Dark, layered, unhurried. The explanation arrives later, if anyone still needs it.",Cabernet blend,"Red, Napa flagship",2019,14.5%,"17°C, decant 1 hr","Black cherry, cassis, espresso","Prime rib, lamb",0.55,0.06,0.7,0.85,draft
King of Wands,III,From nothing to this. Audacious.,1,Le Pin,"Pomerol, Bordeaux","The boldest bets built the biggest names. Le Pin began as a couple of hectares and a farmhouse cellar, no château, no pedigree, just conviction that the little plot was special; it became one of the most valuable wines on earth. Velvet, exotic, absurd. Audacity, fully compounded.",Merlot,"Red, Pomerol garage icon",2015,14%,17°C,"Plum, violet, exotic spice","Squab, quiet awe",0.55,0.05,0.6,0.75,draft
Ace of Cups,I,The open heart. Brave and right.,1,Whispering Angel,"Château d'Esclans, Provence","Beginnings feel exactly like this: pale pink, cool, uncomplicated by history. Whispering Angel carried Provence rosé from local habit to worldwide shorthand for ease, a wine that asks nothing and offers everything at once. First feelings don't need footnotes. Neither does this.",Grenache-Rolle blend,"Rosé, Provence",2023,13%,8-10°C,"Strawberry, citrus, cream","Salads, first dates",0.65,0.06,0.05,0.35,draft
Ace of Cups,II,Overflow. Let it spill.,1,Special Cuvée,"Bollinger, Champagne","What's full past the brim gets shared. Champagne is the overflow made literal, pressure held behind cork until the moment asks for it; Bollinger builds Special Cuvée on reserve wines aged in magnum for extra depth. The cup was never meant to stay level. Pour generously.",Pinot Noir blend,Brut NV Champagne,NV,12%,8-10°C,"Baked apple, brioche, hazelnut","Oysters, roast chicken",0.7,0.1,0.05,0.55,draft
Ace of Cups,III,Instinct. Trust confirmed.,1,Lily's Pét-Nat,"Donkey & Goat, California","Instinct rarely needs editing. Pét-nat gets sealed mid-ferment and finishes in the bottle on feel alone, no corrections, no second-guessing; Donkey & Goat helped pioneer the style's American revival from a Berkeley warehouse. Cloudy, alive, unedited. The gut was right again.",Field blend,Pét-nat sparkling,2022,11.5%,7-9°C,"Green apple, yeast, spritz","Picnics, soft cheeses",0.7,0.12,0.1,0.3,draft
Ace of Cups,IV,Unadorned. Honest choice.,1,Beaujolais L'Ancien,"Jean-Paul Brun, Terres Dorées","The direct approach charms most. Jean-Paul Brun makes Beaujolais the old way, natural yeasts, no cosmetics, Gamay allowed to say exactly one thing clearly: fruit. L'Ancien is red wine with nothing added and nothing to hide. Honesty, chilled slightly, drinks beautifully.",Gamay,"Red, unadorned Beaujolais",2022,12.5%,"13-14°C, light chill","Cherry, raspberry, earth","Roast chicken, charcuterie",0.7,0.05,0.3,0.4,draft
Two of Cups,I,In step. The rarest dance.,1,Mt. Jefferson Cuvée,"Cristom, Willamette Valley","Harmony is two things agreeing. Willamette Pinot lives on the meeting of fruit and earth, and Cristom's Mt. Jefferson keeps them in step through whole-cluster stems and patience, cherry moving with forest floor, neither leading. Partners, not soloists. The dance looks effortless from here.",Pinot Noir,"Red, Willamette Pinot",2021,13.5%,15-16°C,"Cherry, forest floor, spice","Salmon, duck",0.7,0.04,0.4,0.55,draft
Two of Cups,II,For sharing. Naturally paired.,1,Lois Grüner Veltliner,"Fred Loimer, Kamptal","Some pleasures require company. Grüner Veltliner is Austria's table diplomat, peppery and fresh, agreeing with everything from schnitzel to salad, pointless to open alone; Loimer's Lois is the friendliest version of the argument. One glass makes no sense. Two is the recipe.",Grüner Veltliner,"White, Austrian",2022,12%,8-10°C,"White pepper, green apple, lentil","Schnitzel, everything else",0.75,0.05,0.05,0.4,draft
Two of Cups,III,"Equals, met. Toast them both.",1,Seña,"Aconcagua Valley, Chile","The right match doubles everything. Seña began with a handshake between Robert Mondavi and Eduardo Chadwick in 1995, California and Chile as equal partners in one estate, and became the bottle that proved Chilean wine belonged at the top table. Two names, one signature. Both raised the other.",Cabernet blend,"Red, Chilean icon",2019,14%,"17°C, decant 1 hr","Cassis, cedar, fresh herbs","Beef, lamb",0.6,0.05,0.65,0.75,draft
Two of Cups,IV,The exchange. Balanced hearts.,1,Vouvray Sec Le Haut-Lieu,"Domaine Huet, Loire","Difference, met kindly, becomes balance. Chenin carries sweetness and acidity in the same breath, and Huet's dry Haut-Lieu holds the exchange perfectly: honeyed texture answered by cool stone, give matched to take. Neither yields. Neither needs to.",Chenin Blanc,"White, dry Vouvray",2021,13%,10-12°C,"Quince, honey, chalk","Roast pork, ripe cheeses",0.75,0.1,0.05,0.55,draft
Three of Cups,I,The crowd. The right one.,1,Imperial Brut,"Gramona, Penedès","Joy scales beautifully. Gramona ages its Imperial far longer than sparkling wine's party reputation requires, four years and more on the lees, so the glass that gets passed around actually deserves the toast. Crowd-pleasing is a craft. This one respects the crowd.",Xarel·lo blend,"Sparkling, long-aged",NV,12%,7-9°C,"Baked apple, almond, citrus","Tapas, fried anything",0.7,0.1,0.05,0.45,draft
Three of Cups,II,"One table, all told. Gather in.",1,Côtes du Rhône Blanc,"E. Guigal, Rhône","Good company improves everything on it. Guigal's white Côtes du Rhône is built for the middle of the table, Viognier-led warmth that flatters whatever lands beside it and keeps conversation moving. No bottle works a room better at the price. Gather in. It has already started without you.",Viognier blend,"White, Rhône blend",2022,13.5%,10-12°C,"Peach, white flowers, almond","Roast chicken, gratins",0.55,0.08,0.05,0.6,draft
Three of Cups,III,"The festival spirit. Dance, then.",1,Beaujolais Nouveau,"Georges Duboeuf, Beaujolais","Abundance was made for sharing, and Georges Duboeuf made a planet share it: his 'Le Beaujolais Nouveau est arrivé' turned a village harvest tradition into a synchronized global party every third Thursday of November. The wine is a festival with a cork. Dancing is technically optional.",Gamay,"Red, Nouveau",2024,12.5%,"13°C, light chill","Banana blossom, red berry, candy","Party food, no ceremony",0.7,0.06,0.15,0.35,draft
Three of Cups,IV,A whole town's work. Proudly poured.,1,Barbaresco,"Produttori del Barbaresco, Piedmont","Many hands, one triumph. When Barbaresco's growers were too poor to bottle alone, the village priest gathered nineteen of them in 1958 and revived the co-op; today Produttori's Barbaresco stands with wines triple its price. The whole town is in the glass. The pride is measurable.",Nebbiolo,"Red, cooperative Barbaresco",2020,14%,"17°C, decant 1 hr","Cherry, rose, tar","Braised meats, aged cheeses",0.7,0.05,0.7,0.6,draft
Four of Cups,I,The second look. It pays.,1,Muscadet Sur Lie La Pépie,"Domaine de la Pépière, Loire","Quiet things reward attention. Muscadet sits on its lees all winter gathering texture nobody notices at first sip, saline and still until the second look finds the depth; Pépière farms old vines on granite for exactly that discovery. The first glance saw water. The second saw the well.",Melon de Bourgogne,"White, sur lie Muscadet",2022,12%,8-10°C,"Lemon, brine, crushed shell","Oysters, mussels",0.8,0.03,0.05,0.4,draft
Four of Cups,II,Spotted at last. Sharp of you.,1,Mandolás Dry Furmint,"Oremus, Tokaj","The overlooked are rarely empty-handed. Tokaj's Furmint spent centuries famous only when sweet, its dry side ignored entirely, until estates like Vega Sicilia's Oremus began bottling Mandolás: smoky, taut, quietly grand. It was sitting there the whole time. Someone finally looked.",Furmint,"White, dry Tokaj",2021,13.5%,10-12°C,"Pear skin, smoke, lime","Schnitzel, river fish",0.8,0.06,0.05,0.5,draft
Four of Cups,III,Unfashionable. Temporarily.,1,Vecchio Samperi,"Marco De Bartoli, Sicily","Neglect says nothing about worth. Marsala fell so far it became a cooking wine punchline, so Marco De Bartoli made Vecchio Samperi, the old unfortified style aged in a perpetual cask blend, to prove what the name once meant. Fashion left the room. The wine stayed magnificent.",Grillo,"Oxidative, unfortified Marsala-style",NV,17%,"12-14°C, small pour","Walnut, dried apricot, salt","Aged cheeses, almonds",0.7,0.1,0.05,0.65,draft
Five of Cups,I,The hard year's gift. Deeper for it.,1,Volnay,"Domaine de Montille, Burgundy","Difficulty leaves depth behind. In 2016 Burgundy lost half its crop to a single April frost, and what the surviving vines carried was scarce but concentrated; de Montille's Volnay from such years wears the loss as intensity. Fewer grapes, more truth in each. The gift arrives wrapped in the cost.",Pinot Noir,"Red, Volnay",2016,13%,15-16°C,"Red cherry, iron, rose","Duck, mushroom dishes",0.7,0.04,0.5,0.55,draft
Five of Cups,II,"Stern now, generous later. Wait for it.",1,Terres Chaudes,"Roches Neuves, Saumur-Champigny","What starts stern often ends generous. Young Loire Cabernet Franc leads with graphite and reserve, all edges, giving nothing away; Thierry Germain farms Terres Chaudes biodynamically and asks only for time. The generosity is in there, scheduled. Grief keeps a calendar too.",Cabernet Franc,"Red, Saumur-Champigny",2021,13%,15-16°C,"Dark raspberry, graphite, violets","Roast pork, lentils",0.7,0.04,0.55,0.55,draft
Five of Cups,III,Quiet company. The kindest sort.,1,20 Year Old Tawny,"Graham's, Douro","Some moods prefer quiet company. Twenty-year tawny has done its grieving in the barrel, fruit mellowed to fig and walnut, warmth without questions; Graham's pours like a friend who knows when not to talk. It asks nothing. It stays as long as needed.",Touriga blend,"Fortified, aged tawny",NV,20%,14-16°C,"Fig, walnut, caramel","Almond tart, quiet evenings",0.55,0.7,0.2,0.75,draft
Five of Cups,IV,What remains. It is enough.,1,Imperial Reserva,"CVNE, Rioja","What remains is enough to rebuild. Phylloxera ruined Bordeaux and, in the strange bookkeeping of loss, built Rioja: merchants fled south, the region boomed, and then the louse came for it too, leaving Europe's vines alive only on grafted American roots. CVNE was born in that story and outlived it. Two cups still standing, poured.",Tempranillo blend,"Red, Rioja Reserva",2018,14%,16-17°C,"Dark cherry, vanilla, leather","Lamb, aged Manchego",0.65,0.05,0.55,0.65,draft
Six of Cups,I,Homecoming. Long expected.,1,Chianti Classico,"Fèlsina, Tuscany","The familiar holds its own kind of depth. Fèlsina's Chianti Classico is the taste of a standing Sunday table, sour cherry and dust and comfort, made by a family estate that never chased anything trendier than dinner. The door was never locked. The seat was never given away.",Sangiovese,"Red, Chianti Classico",2021,13.5%,16°C,"Sour cherry, earth, herbs","Pasta al ragù, roast chicken",0.75,0.05,0.55,0.6,draft
Six of Cups,II,The old song. It still plays true.,1,Lambrusco di Sorbara,"Cleto Chiarli, Emilia","The past knew a few things. Lambrusco was a joke for a generation, the sweet fizz of somebody's regrettable decade, but Cleto Chiarli has made the real thing since 1860: bone-dry, rose-colored, bright as an accordion on a summer night. The old song, played properly, holds up.",Lambrusco di Sorbara,"Sparkling red, dry",NV,11.5%,8-10°C,"Rose, sour cherry, violet","Salumi, pizza",0.75,0.1,0.15,0.35,draft
Six of Cups,III,The simple pleasure. Timeless.,1,Vinho Verde,"Quinta da Aveleda, Portugal","Uncomplicated is underrated. Vinho Verde asks for nothing: low alcohol, a prickle of spritz, citrus cold enough to squint at, gone before the afternoon is. Aveleda has poured that mercy since 1870. Simple pleasures survive every fashion. They have no moving parts to break.",Loureiro blend,"White, light spritz",2023,11%,6-8°C,"Lime, green apple, spritz","Sardines, beach food",0.75,0.1,0.05,0.25,draft
Six of Cups,IV,Grandmother's secret. Kept safe.,1,Côtes du Rhône Réserve,"Famille Perrin, Rhône","Some gifts arrive generations late. The Perrin family has passed its Rhône know-how down five generations from Beaucastel's cellars, and the humble Réserve carries the house recipe the way a grandchild carries a handwriting. Warm fruit, dusty spice, memory included. Kept safe, still shared.",GSM blend,"Red, Côtes du Rhône",2021,14%,15-16°C,"Red plum, garrigue, pepper","Weeknight roasts, stews",0.6,0.06,0.45,0.65,draft
Seven of Cups,I,The mirror maze. Eyes open.,1,Crasto Old Vines Reserva,"Quinta do Crasto, Douro","Every layer shows a different face. Crasto's old-vine field blend holds better than twenty-five varieties planted together a century ago, several never fully identified, each pour a slightly different hall of reflections. Choose a face to follow. There are more behind it.",Field blend,"Red, Douro old vines",2020,14.5%,16-17°C,"Black fruit, rock rose, spice","Grilled meats, hard cheeses",0.6,0.06,0.6,0.8,draft
Seven of Cups,II,"The decoy, spotted. Discerning.",1,Muscat,"Zind-Humbrecht, Alsace","The first impression is a decoy. Muscat pours a cloud of ripe grapes and orange blossom, sweetness promised by every signal the nose can send, then lands bone-dry, all flowers and no sugar. Zind-Humbrecht plays the trick with a straight face. Discernment starts at the second sip.",Muscat,"White, dry aromatic",2021,13%,9-11°C,"Orange blossom, grape, herbs","Asparagus, spring dishes",0.65,0.05,0.05,0.45,draft
Seven of Cups,III,"Glitter, questioned. Smart.",1,Miraval Rosé,"Provence, France","Shine and substance travel separately, so check the fine print: Miraval arrived wrapped in the most famous marriage in Hollywood, an easy wine to dismiss as a vanity label, except the Perrin family of Beaucastel actually makes it, and makes it well. The glitter was real. So, inconveniently, is the wine.",Cinsault-Grenache blend,"Rosé, Provence",2023,13%,8-10°C,"Strawberry, citrus zest, cream","Niçoise, gossip",0.65,0.05,0.05,0.35,draft
Seven of Cups,IV,The far door. Dreams welcome.,1,Château-Chalon,"Domaine Macle, Jura","Imagination accepts every invitation. Château-Chalon ages six years under a veil of yeast in a Jura hilltop village, emerging as vin jaune: walnut, curry, morning light from somewhere with different physics. No other wine opens this particular door. Step through. Time moves differently inside.",Savagnin,"Vin jaune, oxidative",2015,14%,"14-16°C, open early","Walnut, curry, green apple","Comté, poulet au vin jaune",0.8,0.03,0.1,0.6,draft
Eight of Cups,I,The departure. Braver than staying.,1,Arbois Pupillin Poulsard,"Maison Pierre Overnoy, Jura","Leaving takes more nerve than staying. Pierre Overnoy walked away from everything conventional winemaking insisted was necessary, bottling without sulfur since the eighties when the idea was heresy, trusting the vineyard to hold the wine together. It held. The whole natural wine movement followed his footprints out.",Poulsard,"Red, natural Jura",2021,12.5%,"13-14°C, light chill","Cranberry, rose, earth","Charcuterie, Comté",0.75,0.04,0.2,0.35,draft
Eight of Cups,II,"Depth, suspected. Confirmed.",1,Saarburger Rausch Spätlese,"Zilliken, Saar","Meaning sits below the surface. Zilliken's Rieslings rest in a cellar dug three storeys beneath the house, cold and silent, built for decades of slow unfolding; with age the Rausch turns from bright peach to smoke and deep slate. The surface was pretty. The floor beneath it is the point.",Riesling,"White, aged Saar Spätlese",2015,8%,9-11°C,"Peach, slate, smoke","Spiced pork, Asian dishes",0.85,0.55,0.05,0.35,draft
Eight of Cups,III,The far address. Worth the trip.,1,Bannockburn Pinot Noir,"Felton Road, Central Otago","The search led somewhere quiet. Central Otago sits at the bottom of the world, mountain desert at the forty-fifth parallel south, about as far as Pinot Noir has ever been carried in search of somewhere better; Felton Road farms it biodynamically. The address is remote. The wine explains the journey.",Pinot Noir,"Red, Central Otago",2021,13.5%,15-16°C,"Dark cherry, thyme, mineral","Duck, lamb rump",0.7,0.04,0.45,0.6,draft
Nine of Cups,I,The wish itself. Granted.,1,Château d'Yquem,"Sauternes, Bordeaux","Satisfaction can be total. Yquem is the bottle wine lovers name when asked for one wish: botrytis-shriveled berries picked one by one, each vine yielding roughly a single glass, gold that ages for a century. The wish card, poured. Granted tastes like apricot, saffron, and forever.",Sémillon blend,"Sweet, Sauternes",2015,14%,10-12°C,"Apricot, saffron, crème brûlée","Roquefort, tarte tatin",0.75,0.95,0.05,0.8,draft
Nine of Cups,II,"Indulgence, unapologetic. Splendid.",1,Amarone della Valpolicella,"Dal Forno Romano, Veneto","Pleasure needs no defense, and Dal Forno never files one. His Amarone is hedonism engineered to the last detail, dried fruit and dark chocolate at densities that shouldn't pour, opulence stacked on opulence. Moderation can have the next bottle. This one has plans.",Corvina blend,"Red, opulent Amarone",2015,16.5%,"17°C, small pours","Black cherry, chocolate, spice","Braised beef, aged cheeses",0.55,0.2,0.65,1.0,draft
Nine of Cups,III,"Comfort, chosen. Settle in.",1,PX Solera 1927,"Alvear, Montilla-Moriles","Comfort, done well, is profound. Alvear's Pedro Ximénez draws from a solera laid down in 1927, sun-dried grapes deepened across generations into something like drinkable velvet: raisin, coffee, molasses. It pours slowly on purpose. Settle in. The chair has you.",Pedro Ximénez,"Sweet, solera PX",NV,15%,"12-14°C, small pour","Raisin, coffee, molasses","Vanilla ice cream, blue cheese",0.35,1.0,0.1,0.9,draft
Ten of Cups,I,Everyone present. The real riches.,1,Dom Pérignon,"Champagne, France","The table is the true wealth. Dom Pérignon makes only vintage Champagne, a single year or nothing at all, which is why it appears when families mark the years that mattered: weddings, arrivals, everyone home at once. The bottle keeps the date. The people keep the rest.",Chardonnay-Pinot blend,Vintage Champagne,2013,12.5%,8-10°C,"White peach, brioche, smoke","Milestones, lobster",0.75,0.08,0.05,0.55,draft
Ten of Cups,II,"Complete. A rare word, used right.",1,Brunello Riserva,"Biondi-Santi, Montalcino","Complete is a feeling. The family that invented Brunello in the 1880s still releases Riservas built to outlive their makers, and at full maturity nothing is missing: fruit, earth, air, and time in a single seamless circle. The word gets thrown around. Here it lands.",Sangiovese,"Red, mature Brunello Riserva",2016,14%,"17°C, decant 1 hr","Dried cherry, tea, autumn earth","Roast game, aged pecorino",0.7,0.04,0.65,0.65,draft
Ten of Cups,III,The generations. All at this table.,1,Mount Edelstone Shiraz,"Henschke, Eden Valley","Happiness can be inherited. The Henschke family has farmed Eden Valley since 1868, and Mount Edelstone's Shiraz vines, planted 1912, have now passed through the hands of five generations of the same house. Every vintage seats the ancestors. The table only gets longer.",Shiraz,"Red, single-vineyard Eden Valley",2018,14.5%,16-17°C,"Blackberry, sage, cedar","Roast beef, family dinners",0.55,0.06,0.6,0.8,draft
Page of Cups,I,The whisper. Heard perfectly.,1,Moscato d'Asti,"Paolo Saracco, Piedmont","Soft voices carry far. Moscato d'Asti is wine at a whisper, five and a half degrees of alcohol, a gentle fizz, grapes and orange blossom said just above silence; Saracco is the style's most fluent speaker. Lean in. The quietest pour in Italy has perfect diction.",Moscato,"Sparkling sweet, low alcohol",2023,5.5%,6-8°C,"Grape, orange blossom, peach","Fruit tarts, hazelnut cake",0.6,0.7,0.05,0.2,draft
Page of Cups,II,Dream logic. It checks out.,1,Ürziger Würzgarten Kabinett,"Dr. Loosen, Mosel","Whimsy knows things logic doesn't. Kabinett is Riesling at its most playful, eight degrees of alcohol, sweetness and acid chasing each other like a fish surprising a cup; Loosen's comes from a red-slate vineyard literally named 'spice garden.' Nonsense on paper. Perfect sense in the glass.",Riesling,"White, Kabinett",2022,8%,8-10°C,"Peach, spice, slate","Spicy takeout, picnics",0.85,0.5,0.05,0.3,draft
