card,number,status,keywords,meaning_1,meaning_2,reading_1,reading_2,closing_para,closing_status,notes
Knight of Cups,C12,approved,Romance|Charm|Imagination|Following the heart|Idealism|The beauty seeker|Artistic endeavors|A messenger of love,"The Knight of Cups is the water suit riding out. Knights carry their suit to its extreme, and this one is romance in motion: a seeker of beauty, a maker of gestures, an idealist who follows feeling the way other knights follow orders. He is the deck's most charming arrival, and he means every word of it, at least today.","Drawing it means the heart is proposing something: a pursuit, a courtship, a creative quest, an ideal worth dressing up for. The card sides with the gesture. Feelings gain reality by being expressed beautifully, and beauty itself is a legitimate destination rather than a detour. It adds one grounding note. Ideals travel best with provisions, so let the romance carry some follow-through in its saddlebags.","The Knight of Cups presents himself wherever feeling wants form. An affection ready to be declared properly. A creative vision asking for a devoted season. A cause, person, or place that has quietly become your ideal. Its counsel is to make the gesture wholehearted and concrete, because half-sent love letters do nothing at either end.","Follow the beauty with your eyes open. Chasing what moves you is a compass, and compasses still need roads: pair the invitation with a date, the vision with a first draft, the ideal with one unglamorous step. Keep the charm honest by letting it survive the errands. A grand gesture that shows up twice stops being a gesture. It starts being a devotion.",,pending,"body approved r1 (2026-07-11); closing pending lens approval; keywords whole from the Symbols (eight entries); Imagination shared with the Seven of Cups per the recipe principle"
Queen of Cups,C13,approved,Emotional maturity|Compassion|Empathy|Intuition|Nurturing|A calm presence|The counselor|The healer,"The Queen of Cups is the water suit held steady. Queens embody their suit as presence, and hers is emotional depth that has learned its own tides: compassion, empathy, and a stillness that makes other people's feelings safe to have. She is the one the deck sends when someone needs to be truly heard.","Drawing her means the moment calls for emotional intelligence of the quiet kind, in you or from someone near you. Something wants tending rather than solving: a person mid-storm, a feeling that needs naming, a room that needs one unhurried presence. The card's teaching is that receptivity is a strength with a posture. Held steadily, other people's storms pass through without becoming your own.","The Queen of Cups keeps the kettle warm wherever feelings need company. A friend who needs listening, not fixing. A conversation that keeps stalling at the surface. Your own emotions, overdue for an honest sit-down. Her counsel is presence before advice, because most hearts already know their answer and mostly need a witness.","Care with edges. Empathy without boundaries floods, and the Queen never floods: she feels fully, reflects honestly, and stays herself the entire time. Offer that to the people you love, and insist on receiving it too. Refill privately, in quiet hours nobody has to approve. The waters she rules reward the composed, and composure, at this depth, is a form of love.",,pending,"body approved r1 (2026-07-11); closing pending lens approval; psychological-not-occult fold praised ('good edit'); Compassion shared with Strength, Nurturing with The Empress"
King of Cups,C14,approved,Emotional balance|Mastery of feelings|Compassion with wisdom|Diplomacy|Tolerance|The wise advisor|Calm authority,"The King of Cups is the water suit in command. Kings are their suit matured into authority, and this one governs the hardest territory: feeling that stays wise under pressure. He sits calm in a moving sea, compassionate without spilling, firm without freezing. Emotional mastery, in this deck, looks exactly this undramatic.","Drawing him means a situation is asking you to hold feeling and judgment in the same hand: a conflict needing a cool head with a warm read, news that must be delivered kindly and clearly, a role where people bring you their storms. The card's standard is high and reachable. Feel everything, own what you feel, and let none of it commandeer the decision.","The King of Cups anchors wherever diplomacy earns its keep. A dispute that needs one adult determined to stay one. A hard conversation that will go as well as its calmest participant. A mentor's moment, yours to give or to seek. His counsel is tolerance with a spine: absorb the heat, honor the feeling, and answer the substance.","Rule the inner sea by respecting it. Name your feelings early and privately, give the strong ones a hearing before the meeting rather than during, and let compassion set the tone while wisdom sets the terms. People will bring you their worst days for exactly this reason; treat that as the honor it is. Deep feeling, held steady, is what calm authority is actually made of.",,pending,"body approved r1 (2026-07-11); closing pending lens approval; keywords: 'compassion combined with wisdom' kept near-whole as 'Compassion with wisdom'; 'Calm authority' deliberately parallels the King of Wands' 'Charismatic authority'"
Ace of Swords,S01,approved,A mental breakthrough|Clarity|Truth revealed|Focus|Decisive action|Intellectual power|Cutting through confusion,"The Ace of Swords opens the suit of air, the deck's family of mind: thought, truth, words, and the conflicts they start. Every ace is a seed, and this one is an edge: the mental breakthrough, the sudden clean line through a tangled question. One true thought arrives, and the fog concedes.","Drawing it means clarity is available right now in a way it was not last week. A truth has surfaced, or is about to, and it cuts in the way honest things cut: cleanly, impartially, and without checking whose comfort is at stake. The card calls this a gift and means it. Confusion is expensive, and the mind that suddenly sees pays down every debt at once.","The Ace of Swords flashes wherever the fog has been thickest. A decision that untangles the moment it is stated plainly. A hard fact that ends a long negotiation with yourself. The exact words, finally, for something you could not name. Its counsel is to act on the clarity quickly, because sharp edges dull fast in a drawer.","Use the new edge with care and kindness both. Truth is a scalpel in this suit, never a cudgel, and what it cuts should be confusion rather than people. Say the clear thing in the fewest faithful words, decide what the breakthrough implies, and write it down before the mind files an appeal. Minds cloud again; that is what minds do. A truth written down in daylight survives the next fog.",,pending,"body approved r1 (2026-07-11); closing pending lens approval; user keyword verdict: 'A mental breakthrough' leads after all (the closest thing this card has to a spark; aces align across suits, rank-parallelism outranks the voice-line match)"
Two of Swords,S02,approved,Indecision|Stalemate|A difficult choice|Avoiding the truth|Needing a truce|Blocked vision,"The Two of Swords is the air suit's stalemate. It stands for indecision held with great discipline: two options, two crossed blades, and a blindfold worn almost voluntarily. The figure is balanced, composed, and completely stuck, which is the card's honest portrait of how dignified avoidance can look from the outside.","Drawing it means a choice has been waiting on you long enough to feel permanent. The facts are mostly in, the paths are known, and what not-choosing protects is the comfort of never losing either one. The card is gentle about the cost and clear about it as well. Delay charges rent on ground that looks neutral.","The Two of Swords sits very still wherever a decision has stalled. A choice revisited nightly and never made. Two futures kept alive on half-rations. A truth avoided so carefully the avoiding became a schedule. Its counsel is to lift the blindfold first, because most stalemates are protected from information, not starved of it.","Break the tie with your own values instead of more data. Somewhere beneath the pro-and-con lists, one option already has your loyalty; the ritual of weighing has mostly been a way to avoid saying so. Set a date, choose, and let the unchosen path close respectfully. Losing one future is the toll. Keeping both was never on the menu anyway.",,pending,"body approved r1 (2026-07-11); closing pending lens approval; keywords: 'needing balance/truce' rendered 'Needing a truce' per the Seven of Cups verdict; 'blocked vision or emotions' condensed to 'Blocked vision' - flagged"
Three of Swords,S03,approved,Heartbreak|Painful realization|Sorrow|Loss|Separation|A difficult truth|Clarity through pain,"The Three of Swords is the deck's heartbreak, drawn exactly as it feels: three blades, one heart, rain behind. It stands for sorrow, separation, and the kind of painful realization that cannot be argued with. The deck includes it because lives include it, and pretending otherwise would help nobody.","Drawing it means something pierced: a loss, a parting, a truth that arrived point-first. The card does not minimize, and neither will this page. It hurts, it is real, and it means what you think it means. What the card adds is the sky behind the heart: rain, which is grief doing its work, and clouds, which pass. Clarity through pain is still clarity. It counts, and it stays.","The Three of Swords accompanies the losses that reorganize a person. A relationship ending with the truth spoken at last. A separation nobody gets to appeal. Words that keep replaying at their original volume. Its counsel is honesty about the size of it: name what was lost in full, because grief measured honestly can finish, and grief discounted keeps the wound on retainer.","Do the mourning with company and daylight. Say the plain version of what happened to someone safe, cry at the scheduled and unscheduled times, and refuse the twin tempters, numbness and endless replay. The rain on this card is the mercy in it: heartbreak felt all the way through drains, and heartbreak managed stays full forever. The heart is a muscle before it is a symbol. It heals the way muscles do, through gentle use.",,pending,"body approved r1 (2026-07-11); closing pending lens approval; keywords: leads 'Heartbreak' (the card's iconic identity); Loss shared with the Five of Cups per the recipe principle"
Four of Swords,S04,approved,Rest after struggle|Recuperation|Mental quiet|Sanctuary|Truce|Contemplation|Meditation,"The Four of Swords is the air suit's sanctuary. It stands for rest after struggle: the mind granted a ceasefire, the armor hung up, the world instructed to wait. Fours in this deck are resting points, and this is the deepest of them, rest as a discipline rather than a collapse.","Drawing it means the battle is paused, or must be. Something took real effort or real damage, and the next right move is strategic stillness: recovery treated with the same seriousness as the fight. The card is specific about the kind of quiet it means. Sanctuary, here, is protected space chosen on purpose, a room with a door the noise is not allowed through.","The Four of Swords watches over needed recoveries. A push that ended and left the tank empty. A conflict that should not be re-entered tired. A mind that has been solving all night and calling it sleep. Its counsel is full permission, because recovery belongs inside the campaign rather than after it.","Build the sanctuary deliberately. Silence what pings, decline what drains, and give the stillness enough days to actually work; a truce that keeps getting interrupted is just slower war. Let the mind do its quiet consolidation, the kind that happens in naps, walks, and staring usefully out of windows. The swords above the resting figure stay on the wall, within reach all along. Rest, done properly, is how they get sharp again.",,pending,"body approved r1 (2026-07-11); closing pending lens approval; keywords whole from the Symbols; Truce shared with the Two of Cups, Contemplation/Meditation with the Four of Cups per the recipe principle"
Five of Swords,S05,approved,Winning at too high a cost|Conflict|Loss|A Pyrrhic victory|Discord|Humiliation|Ambition overriding ethics,"The Five of Swords is the air suit's expensive win. It stands for conflict that ended with a victor and no celebration: the argument taken, the room emptied, one figure collecting swords nobody stayed to contest. Fives in this deck are rough patches, and this one is the loneliest, because it looks like triumph right up until the echo.","Drawing it means a conflict in your orbit is producing winners and losses at the same time, and the accounting deserves a second look. Perhaps you won something lately at a price still being tallied, or you are mid-fight and aiming at a victory of exactly that kind. The card's push is quiet and pointed: it asks what the win is for, and who will be left to enjoy it with you.","The Five of Swords lingers after fights that went one point too far. An argument won with a sentence you would like back. A negotiation pressed past fair into scorched. A principle defended until it cost the friendship it was defending. Its counsel is to check the field for what actually fell there, because some victories are defeats wearing the better outfit.","Choose repair over margin. If the win is already taken, spend some of it on the people it bruised; an apology from the victor costs little and restores almost everything. If the fight is still live, decide what would count as enough and stop there, on purpose, in view of everyone. Ambition needs ethics the way blades need handles. Without the grip, every swing cuts the hand that made it.",,pending,"body approved r1 (2026-07-11); closing pending lens approval; user keyword verdict: order regrouped Conflict > Loss > A Pyrrhic victory (the cost-cluster reads as one thought); 'A Pyrrhic victory' kept whole"
Six of Swords,S06,approved,Transition|Passage|Moving on from difficulty|A rite of passage|A melancholy journey|Finding logical solutions,"The Six of Swords is the air suit's crossing. It stands for transition: the decision is made, the worst is behind, and the boat is moving, away from what hurt and toward what will not. Nobody aboard is celebrating, because this is passage rather than victory. The card's mood is honest: relief, melancholy, and forward motion, all in one hull.","Drawing it means you are mid-transition, past the leaving and short of the arriving. The card endorses the route completely and skips the pep talk: crossings are quiet, gray, and unglamorous, and they are also how people actually get out of hard chapters. Logic is doing the rowing here, and feelings are permitted to ride as passengers. That arrangement, for now, is the correct one.","The Six of Swords ferries people out of finished trouble. A move made for sane reasons rather than exciting ones. A recovery that has begun without feeling like one yet. A slow, deliberate exit from a heavy situation. Its counsel is steady oars: keep the practical steps small and repeating, because rhythm carries a crossing better than inspiration does.","Permit the melancholy without obeying it. Looking back at a receding shore is human; rowing back is the only real mistake. Bring what the hard chapter taught, leave what it charged, and let the far bank be allowed to be better, even if believing that still feels premature. Arrivals rarely announce themselves in this suit. One morning the crossing is simply behind you, and the new ground holds.",,pending,"body approved r1 (2026-07-11); closing pending lens approval; keywords whole from the Symbols incl. 'A melancholy journey' and 'Finding logical solutions'"
Seven of Swords,S07,approved,Deception|Strategy|Acting alone|Betrayal|Theft|Resourcefulness|Trying to get away with something,"The Seven of Swords is the air suit's sneak. It stands for strategy in its gray zone: deception, discretion, the solo move, the plan that works best unannounced. The figure tiptoes off with five swords and leaves two behind, which is the card in one image: clever, mostly successful, and not quite clean.","Drawing it means somebody in the situation is playing a private game, and the card's first job is helping you consider every candidate, including you. Sometimes this is theft or betrayal in the plain sense. Just as often it is strategy wearing soft shoes: information withheld, a plan advanced quietly, a solo act where the team expected consultation. The card does not sort the ethics for you. It insists only that you see the move.","The Seven of Swords slips through wherever candor has gone missing. A story with a version for each audience. A negotiation where someone's real goal stays offstage. A shortcut you are tempted to take while nobody is checking. Its counsel is a quiet inventory, because what gets carried off matters less than what the carrying costs.","If the sneak is elsewhere, respond with daylight rather than drama: verify, document, and ask the direct question that clever plans hate most. If the sneak is you, do the honest math: strategy is legitimate, discretion is sometimes kind, and a win that must stay hidden from everyone you respect is announcing its price. The two swords left behind are the tell. Nobody takes everything cleanly, and quiet exits keep accounts that eventually get read.",,pending,"body approved r1 (2026-07-11); closing pending lens approval; keywords: '(potentially unethical)' qualifier dropped; 'Trying to get away with something' kept whole"
Eight of Swords,S08,approved,Feeling restricted|Limitation|Feeling trapped|Powerlessness|Needing new perspective,"The Eight of Swords is the air suit's trap, built almost entirely of thought. It stands for feeling restricted: a figure blindfolded and hemmed in by eight planted blades, while the picture quietly includes a gap in the fence, exactly where she is not looking. The trap is real to whoever is inside it. That is the whole problem the card names.","Drawing it means some limitation in your life is sturdier in the mind than in the world. The powerlessness feels total, and the card honors it as a feeling while disputing it as a fact. Rules never actually checked, permissions never actually asked, an old story about what you cannot do that has not been tested in years: these are the swords in the ground. And swords in the ground are only standing there. Nobody is holding them.","The Eight of Swords tightens around lives run by untested assumptions. A job stayed in because leaving is 'impossible.' A conversation avoided because its outcome is 'already known.' A limit inherited so long ago it feels like architecture. Its counsel is to test one of the fence posts this week, gently, and watch what actually happens.","Give the blindfold its due: perspective is the entire lock. Ask someone outside the fence to describe what they see; borrowed eyes are the fastest exit this card knows, because other people can usually spot the gap in about a minute. Then move, small and real, in the direction of the opening. Freedom here rarely arrives as a rescue. It arrives as a step that turns out, to everyone's quiet astonishment, to have been available all along.",,pending,"body approved r1 (2026-07-11); closing pending lens approval; keywords: '(often by self-imposed thoughts)' carried by the prose per the Devil precedent - flagged; 'Needing new perspective' kept in the needing-form per the Seven of Cups verdict"
Nine of Swords,S09,approved,Anxiety|Worry|Fear|Nightmares|Mental anguish|Despair|Negativity,"The Nine of Swords is the air suit's bad night. It stands for anxiety, worry, and the mind turned against its owner in the dark: the figure sits up in bed, face in hands, while nine swords hang on the wall behind. Look once more at that wall. The swords are mounted, not falling, and none of them ever touches her.","Drawing it means worry has been running the night shift: replaying, forecasting, escalating, and presenting its drafts as facts. The card takes the anguish seriously, because a fear does not need to be accurate to be exhausting. But its whole point sits in the gap between the mind's cinema and the room's stillness. This suffering is real, and most of its screenplay is not happening.","The Nine of Swords sits up with whoever cannot put the mind down. A dread that grows teeth after midnight. A worry loop that has worn its groove smooth. A fear checked eleven times and never once confirmed. Its counsel is scheduled review: write the fear down and read it again at lunch, when the committee of catastrophes has gone home.","Treat the anguish as noise in the instrument rather than news from the world, and care for the instrument: sleep, movement, sunlight, and one honest conversation outrank another night of solo analysis. Say the fear out loud to somebody, because spoken worries shrink in company the way they swell in private. And keep the card's own evidence close. The swords stay on the wall, the night ends, and the person in the bed is unharmed.",,pending,"body approved r1 (2026-07-11); closing pending lens approval; keywords: '(often mental, not necessarily reality)' carried by the prose (it is the card's mercy) - flagged; Fear shared with The Moon per the recipe principle"
Ten of Swords,S10,approved,An absolute ending|Hitting rock bottom|Ruin|Finality|A painful conclusion|Betrayal|Exhaustion after struggle|Surrender,"The Ten of Swords is the deck's most dramatic ending, and it knows it: ten blades in one fallen figure, where two would have done. It stands for the absolute conclusion, the ruin that cannot be argued into anything else. Tens in this deck are completions, and this one completes the hard way: totally, painfully, and, mercifully, for good.","Drawing it means something has ended beyond revival, or is about to, and the card's strange comfort lives inside that totality. Partial endings string hope along for months; this one lets everybody go home. What failed has fully failed, and that means the exhausting work of keeping it alive is finished as well. The card marks the point in a collapse where certainty finally changes sides.","The Ten of Swords lies across the endings that leave no argument. A venture that is over in every way but the paperwork. A betrayal that removed all remaining doubt. A struggle lost so completely that, oddly, the pressure lifts. Its counsel is surrender of the technical kind: stop funding the resurrection, and let the ending be as final as it already is.","Rest first; meaning later. Total endings flatten a person, and the card grants a full stop before it asks anything else. When you look up, borrow its horizon. The sky in the picture is already lightening behind the blades, because the deck placed its blackest moment at the exact hour dawn gets scheduled. Whatever begins for you next starts unusually clean. A finish this total leaves nothing half-owed, and a person with nothing left to protect is, among other things, free.",,pending,"body approved r1 (2026-07-11); closing pending lens approval; keywords: 'hitting rock bottom' kept whole; set of eight; Betrayal shared with the Seven of Swords, Surrender with The Hanged Man per the recipe principle"
Page of Swords,S11,approved,A messenger of truth|Curiosity|New ideas|Mental energy|Truth-seeking|Vigilance|Restless energy|Communication|Eagerness to learn,"The Page of Swords is the air suit's student, and the quickest study in the deck. Pages are students and messengers, and this one gathers information the way the other pages gather feelings or sparks: restlessly, constantly, from every direction at once. Picture a mind on tiptoe, sword up, hair in the wind, delighted by exactly how much there is to figure out.","Drawing it means your curiosity has caught a scent: a question that will not settle, a subject pulling you into research spirals, a hunch that something in the story deserves a closer look. The card blesses the digging and adds its one requirement, honesty about what gets found. Vigilance without fairness curdles into suspicion, and this Page is a truth-seeker first, a critic second.","The Page of Swords darts in wherever questions outnumber answers. A claim that deserves checking before it gets repeated. A new field of knowledge with your name on it. A conversation that needs one brave, clarifying question asked out loud. Its counsel is to stay curious past the first satisfying answer, because the first answer is usually just the loudest.","Learn in public. Ask the question everyone else is pretending not to have, share what you find before it is polished, and let being corrected count as progress, since to this Page it genuinely is. Keep the vigilance kind: watchfulness aimed at facts sharpens a mind, and aimed at people it merely sharpens the tongue. Fresh sight is a temporary gift. Spend it on the big questions while everything still looks strange.",,pending,"body approved r1 (2026-07-11); closing pending lens approval; user verdict: the framework's Symbols list was incomplete (every Page is a messenger); 'A messenger of truth' ADDED, now LEADING per the batch-8 rule"
Knight of Swords,S12,approved,Decisiveness|Directness|Focus|Ambition|Charging ahead with ideas|Haste|Ruthlessness,"The Knight of Swords is the air suit at full charge. Knights take their suit to the extreme, and this one is an argument on horseback: decisive, direct, brilliant in motion, and fully convinced the shortest distance between two points is through. Where the fire Knight chases the thrill, this one chases the conclusion.","Drawing it means an idea has taken command, in you or near you. A decision wants making now, a case wants stating bluntly, and momentum is treating every hesitation as an insult. The card admires this energy and files one caution with it: speed reads as clarity even when it is only speed. Charge, by all means. Just confirm the destination deserves the horse.","The Knight of Swords cuts in wherever momentum and mind have merged. A project that needs one week of ruthless focus. A truth that needs saying plainly, today, in one sitting. A debate you keep winning in your head at full volume. Its counsel is aim before speed: pick the single point that matters and commit the whole charge to it.","Blunt the ruthlessness, keep the edge. Directness does its best work on problems and its worst on people, so state the case hard and leave the person standing. Build in one deliberate pause before anything irreversible, a breath, a reread, a second opinion, then go without apology. Minds this fast are rare and useful, and the whole art is making sure the speed arrives somewhere worth it.",,pending,"body approved r1 (2026-07-11); closing pending lens approval; keywords: the Symbols' adjectives nouned (Decisiveness, Directness, Focus, Ambition); 'potentially hasty or ruthless' kept as Haste and Ruthlessness per the Hastiness precedent - flagged"
Queen of Swords,S13,approved,Independence|Clear boundaries|Sharp intellect|Honesty|Perception|Wise through experience,"The Queen of Swords is the air suit sharpened into a person. Queens embody their suit as presence, and hers is clarity with a history: independent, perceptive, honest to the bone, and wise in the way only people who have survived something get to be. She says the true thing kindly when possible, and says it regardless.","Drawing her means the moment wants clear eyes and clean lines: a truth spoken without decoration, a boundary drawn without a preamble, a decision made on evidence rather than hope. The card also honors where this sharpness comes from. Experience, including the painful kind, did the sharpening, and what it produced is a perception few can fool.","The Queen of Swords holds the standard wherever truth needs a spine. A conversation that requires the unvarnished version. A boundary that must survive charm, guilt, and repetition. A judgment call that needs a head unclouded by wishing. Her counsel is candor with manners: say it straight, say it once, and let the silence do the repeating.","Guard the softness behind the steel. Sharp perception can drift into cynicism if it never gets a day off, and the Queen's edge exists to protect things, warmth included, that she has no intention of advertising. Tell the truth and keep the tenderness; the two were never actually rivals. Respect, around her, is simple to earn. Arrive honest, waste no one's time, and never mistake her clarity for coldness twice.",,pending,"body approved r1 (2026-07-11); closing pending lens approval; keywords: '(sometimes painful)' and 'perhaps cynical or stern' carried by the prose - flagged; 'Wise through experience' kept whole"
King of Swords,S14,approved,Mental clarity|Reasoned authority|Intellectual power|Ethical judgment|Clear communication|The strategist,"The King of Swords is the air suit in command. Kings are their suit matured into authority, and this one rules by reason: clear standards, ethical judgment, and communication so precise that arguments simply run out of places to hide. His power is the rarest kind in any deck or any room, authority that can explain itself.","Drawing him means a situation needs the head of the table occupied by a clear mind: a dispute wanting a fair ruling, a plan wanting rigorous review, a message that must be exact because it will be quoted. The card asks you to hold the standard even when warmth tugs at it, since consistency is what makes fairness believable. Feelings get heard in this court, and the ruling still comes from principles that can be said out loud.","The King of Swords convenes wherever judgment must be trusted. A decision that affects people who are not in the room. A conflict needing an arbiter with no favorite. A strategy that deserves cold reading before warm launch. His counsel is to decide on stated criteria, because a judgment that can be explained survives its critics, and one that cannot deserves them.","Communicate like the ruling matters. Define the terms, show the reasoning, invite the strongest counterargument and answer it in the open; authority spent this way grows, and authority hoarded corrodes. Keep one wise counselor who is unafraid of you, and believe them. The sword points up in his hand for a reason. Truth, held straight, is the one weapon that gets sharper with witnesses.",,pending,"body approved r1 (2026-07-11); closing pending lens approval; keywords: 'authority based on reason/truth' rendered 'Reasoned authority' (completes the kings' parallel: Charismatic/Calm/Reasoned); 'justice' folded into Ethical judgment (another card's name, per the Judgement precedent) - flagged"
Ace of Pentacles,P01,approved,A seed of potential|A new opportunity|Manifestation|Prosperity|Grounding|Tangible results,"The Ace of Pentacles opens the suit of earth, the deck's family of the material world: work, money, home, health, and everything ambition becomes once it takes physical form. Every ace is a seed, and this one actually behaves like one. It is a small, concrete opportunity that intends, with tending, to become property, prosperity, or a livelihood.","Drawing it means a tangible opportunity is in your hand or entering it: an offer, an opening, a first client, a plot of ground in whatever form ground takes for you. The card is the most practical well-wisher in the deck. It promises nothing except that the seed is real and the soil is decent, and it asks for the unglamorous verbs: plant, water, wait, repeat.","The Ace of Pentacles takes root where potential gets physical. A job or venture with an actual start date. A first sum saved toward a real thing. A healthy habit finally small enough to keep. Its counsel is groundwork over grand plans: secure the little foundation completely, because everything later stands on how boring you were willing to be now.","Take the opportunity in both hands and make it concrete within the week: signed, scheduled, planted, opened. Material things grow by compounding, which only ever rewards the early and the regular. Guard the seed stage from both neglect and fuss, and let time do the part only time does. The coin in the card hovers above a garden path for a reason. Wealth of every kind, in this suit, starts as gardening.",,pending,"body approved r1 (2026-07-11); closing pending lens approval; FIRST PENTACLE: earth-suit orientation opens the suit; keywords: leads 'A seed of potential' per the aces-lead-with-their-spark rule (batch 6)"
Two of Pentacles,P02,approved,Juggling|Balancing resources|Adaptability|Managing priorities|Ebb and flow|Change,"The Two of Pentacles is the earth suit's balancing act. It stands for adaptability: two live priorities kept in motion by timing rather than muscle. The figure looks light on its feet, and the coins travel a loop shaped like infinity, because this act, the card admits cheerfully, never really ends.","Drawing it means life is asking you to hold more than one real thing at once: work and home, saving and spending, the steady obligation and the growing dream. The card declines to call this a problem. Managing the ebb and flow is a skill, and you are visibly mid-performance. What it does prescribe is rhythm. Fixed grips drop things; a beat you can repeat keeps them airborne.","The Two of Pentacles bobs and weaves through full calendars. Two roles that both deserve real attention this month. A budget doing quiet gymnastics behind a calm exterior. A season where flexibility is outworking every plan. Its counsel is sequence over simultaneity: give each thing its full moment in the hand, then release it cleanly for the next.","Choose what stays in the air on purpose. Jugglers survive by knowing which items are rubber and which are glass, so sort your commitments honestly and protect the glass without hesitation. Build slack into the loop, because rhythm without margin becomes fragility with good posture. And when the act genuinely exceeds two hands, say so early. Adaptability includes adapting the load.",,pending,"body approved r1 (2026-07-11); closing pending lens approval; keywords whole from the Symbols; set of six"
Three of Pentacles,P03,approved,Teamwork|Collaboration|Mastery of a craft|Apprenticeship|Initial success through skill|Recognition for quality work,"The Three of Pentacles is the earth suit's job site. It stands for teamwork and craft: the stonemason at work in the cathedral doorway while the architect and the patron lean in, and all three, pointedly, are listening to each other. Skill starts mattering here, and so does the discovery that skill grows fastest in good company.","Drawing it means the work in front of you wants collaborators, and the card is specific about what makes collaboration real: every voice at the table has a competence the others lack, and every voice gets used. Being consulted is part of it; consulting back is the rest. Quality, in this card, is a group phenomenon, and recognition is starting to arrive because the work has earned it.","The Three of Pentacles gets to work wherever skills interlock. A project that needs the specialist, the planner, and the payer at one table. Early professional recognition that deserves to be taken seriously. A craft leaving its amateur phase in real time. Its counsel is to work openly, because craftsmanship reviewed early is craftsmanship improved cheaply.","Play your position fully and respect the others completely. Say what only you know, ask for what only they know, and let the drawing on the wall settle disagreements; a shared standard beats a strong opinion every time. Take the compliment when the work draws one, and route some of it sideways. Buildings remember their whole crew, even when the plaque names one.",,pending,"body approved r1 (2026-07-11); closing pending lens approval; keywords whole from the Symbols incl. 'Initial success through skill' and 'Recognition for quality work'; Apprenticeship shared with the Eight per the recipe principle"
Four of Pentacles,P04,approved,Stability|Security|Conservation|Control of resources|Possessiveness|Stinginess|Fear of loss,"The Four of Pentacles is the earth suit holding on. It stands for security and its shadow: one coin underfoot, one hugged to the chest, one balanced on the head, and a figure who cannot wave hello without dropping money. Fours in this deck are resting points, and this one grips the rest a little too hard.","Drawing it means holding has become the strategy: savings guarded, positions kept, routines defended. The card gives conservation its full due first, since stability is earned and nobody should apologize for a foundation. Then it asks its pointed question about the grip: whether the resources are being held, or the holder is being held. Security that cannot be spent, risked, or shared has quietly changed jobs.","The Four of Pentacles clenches around hard-won ground. A budget that survived lean times and still acts like it is in them. A role kept mainly because letting go is unthinkable. A caution that outlived the danger that taught it. Its counsel is an honest look at the grip: keep what protects, loosen what merely reassures.","Practice small acts of circulation. Spend modestly on something living, give a little where it returns nothing, take one measured risk per season; money and energy are currencies, and currencies only work while moving. Keep the foundation, certainly, and check occasionally that it still has a house on it rather than a vault. Stability, held rightly, funds a life. The life is the point.",,pending,"body approved r1 (2026-07-11); closing pending lens approval; keywords: full recipe incl. the shadow symbols (Possessiveness, Stinginess, Fear of loss) per the Hastiness precedent; 'but also' qualifier dropped"
Five of Pentacles,P05,approved,Material loss|Poverty|Isolation|Insecurity|Feeling left out in the cold|Illness,"The Five of Pentacles is the earth suit's winter. It stands for material hardship and the isolation that rides along with it: two figures in the snow, one hurt, one huddled, both outside. Fives in this deck are rough patches, and this one is the coldest. What it never is, anywhere in its meaning, is permanent.","Drawing it means resources are strained somewhere: money, work, strength, or simply the sense of belonging that scarcity erodes fastest. The card's honesty comes doubled. The cold is real, and so is the lit window the two figures are passing, because the picture places help inside arm's reach and lets the travelers walk by it. Doors do not open to people convinced there are no doors.","The Five of Pentacles trudges alongside lean seasons. A financial stretch that is reordering every plan. A setback that arrived with its friend, shame, in tow. An isolation that grew from not wanting to ask again. Its counsel is against the solo version of survival: hard seasons are walkable, and nobody is issued enough warmth to walk them alone.","Ask, specifically and soon. Name what would actually help to someone who could actually give it, because pride insulates poorly and the people who love you cannot read frost. Accept in the spirit you would give, then pass it forward when the thaw comes, and it does come. The figures in the card keep moving, which is the quiet instruction. Keep moving, keep company, and keep the window in view.",,pending,"body approved r1 (2026-07-11); closing pending lens approval; user keyword verdict: Illness restored ('no worse than isolation or poverty'; naming territory is not giving advice); 'financial or material loss' rendered 'Material loss'"
Six of Pentacles,P06,approved,Generosity|Charity|Sharing wealth|Giving and receiving|Patronage|Fair distribution|Paying debts,"The Six of Pentacles is the earth suit's generosity. It stands for wealth in motion between people: charity, patronage, fair wages, favors repaid, the whole circulation system of giving and receiving. The merchant in the card holds scales in one hand while giving with the other, because in this card fairness and kindness are the same gesture.","Drawing it means resources want to move through you in one direction or the other. Perhaps you have surplus and somewhere useful to send it; perhaps you are the one in need this round, which the card treats as an ordinary position in the cycle rather than a lesser one. Its real subject is the exchange itself. Generosity done fairly dignifies both ends, and every giver in this deck has taken a turn receiving.","The Six of Pentacles changes hands wherever the flow is being decided. A raise, a rate, or a split that should be set fairly rather than cleverly. A cause that your surplus could quietly transform. An offer of help that pride has been holding at the door. Its counsel is honest scales: give what is real, take what is needed, and keep the exchange clean of strings.","Give like someone who remembers needing. The best generosity carries no scoreboard and no ceremony; it sizes the gift to the need, hands it over level, and forgets it publicly while remembering it privately. And receive like someone who intends to give later, which is to say gratefully and without groveling. The cycle is the point. Wealth, in this suit, is judged less by the pile than by the current running through it.",,pending,"body approved r1 (2026-07-11); closing pending lens approval; keywords whole from the Symbols (seven entries); 'Giving and receiving' shared with the Six of Cups per the recipe principle"
